"circ";"coll";"comune";"cognome";"nome";"datanascita";"luogonascita";"sesso";"TOTVOTI";"descrcontrass"
"PIEMONTE 1";"Ivrea";"QUINCINETTO";"PANATTONI";"GIORGIO";;"MILANO";"M";207,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"ROMANO CANAVESE";"PELLISSIER";"ANDREA";;"TORINO";"M";358,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"ROMANO CANAVESE";"TOGNOLI";"ALBERTO";;"IVREA";"M";764,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"ROMANO CANAVESE";"PANATTONI";"GIORGIO";;"MILANO";"M";863,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"RUEGLIO";"PELLISSIER";"ANDREA";;"TORINO";"M";101,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"RUEGLIO";"TOGNOLI";"ALBERTO";;"IVREA";"M";108,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"RUEGLIO";"PANATTONI";"GIORGIO";;"MILANO";"M";217,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"SALERANO CANAVESE";"PELLISSIER";"ANDREA";;"TORINO";"M";76,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"SALERANO CANAVESE";"TOGNOLI";"ALBERTO";;"IVREA";"M";119,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"SALERANO CANAVESE";"PANATTONI";"GIORGIO";;"MILANO";"M";183,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"SAMONE";"PELLISSIER";"ANDREA";;"TORINO";"M";180,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"SAMONE";"TOGNOLI";"ALBERTO";;"IVREA";"M";369,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"SAMONE";"PANATTONI";"GIORGIO";;"MILANO";"M";464,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"SAN GIORGIO CANAVESE";"PELLISSIER";"ANDREA";;"TORINO";"M";410,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"SAN GIORGIO CANAVESE";"TOGNOLI";"ALBERTO";;"IVREA";"M";605,00;"POLO PER LE LIBERTA'"
"PIEMONTE 1";"Ivrea";"SAN GIORGIO CANAVESE";"PANATTONI";"GIORGIO";;"MILANO";"M";550,00;"L'ULIVO"
"PIEMONTE 1";"Ivrea";"SAN GIUSTO CANAVESE";"PELLISSIER";"ANDREA";;"TORINO";"M";524,00;"LEGA NORD"
"PIEMONTE 1";"Ivrea";"SAN GIUSTO CANAVESE";"TOGNOLI";"ALBERTO";;"IVREA";"M";763,00;"POLO PER LE LIBERTA'"
