"RIPARTIZIONE";"NAZIONE";"LISTA";"TOTVOTI"
"EUROPA";"ALBANIA";"+EUROPA";44,00
"EUROPA";"ALBANIA";"CIVICA POPOLARE LORENZIN";5,00
"EUROPA";"ALBANIA";"PARTITO REPUBBLICANO ITALIANO - ALA";2,00
"EUROPA";"ALBANIA";"LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI";192,00
"EUROPA";"ALBANIA";"MOVIMENTO 5 STELLE";148,00
"EUROPA";"ALBANIA";"PARTITO DEMOCRATICO";149,00
"EUROPA";"ALBANIA";"LIBERI E UGUALI";18,00
"EUROPA";"ALBANIA";"MOVIMENTO DELLE LIBERTA'";5,00
"EUROPA";"ALBANIA";"NOI CON L'ITALIA - UDC";15,00
"EUROPA";"ANDORRA";"+EUROPA";5,00
"EUROPA";"ANDORRA";"MOVIMENTO 5 STELLE";8,00
"EUROPA";"ANDORRA";"PARTITO DEMOCRATICO";16,00
"EUROPA";"ANDORRA";"LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI";12,00
"EUROPA";"ANDORRA";"PARTITO REPUBBLICANO ITALIANO - ALA";0,00
"EUROPA";"ANDORRA";"CIVICA POPOLARE LORENZIN";0,00
"EUROPA";"ANDORRA";"NOI CON L'ITALIA - UDC";3,00
"EUROPA";"ANDORRA";"MOVIMENTO DELLE LIBERTA'";1,00
"EUROPA";"ANDORRA";"LIBERI E UGUALI";4,00
"EUROPA";"AUSTRIA";"MOVIMENTO DELLE LIBERTA'";47,00
"EUROPA";"AUSTRIA";"LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI";1444,00
"EUROPA";"AUSTRIA";"+EUROPA";1118,00
"EUROPA";"AUSTRIA";"NOI CON L'ITALIA - UDC";104,00
"EUROPA";"AUSTRIA";"CIVICA POPOLARE LORENZIN";59,00
"EUROPA";"AUSTRIA";"PARTITO DEMOCRATICO";3806,00
"EUROPA";"AUSTRIA";"MOVIMENTO 5 STELLE";2016,00
"EUROPA";"AUSTRIA";"LIBERI E UGUALI";944,00
"EUROPA";"AUSTRIA";"PARTITO REPUBBLICANO ITALIANO - ALA";22,00
"EUROPA";"BELGIO";"MOVIMENTO DELLE LIBERTA'";3516,00
"EUROPA";"BELGIO";"CIVICA POPOLARE LORENZIN";409,00
"EUROPA";"BELGIO";"PARTITO REPUBBLICANO ITALIANO - ALA";99,00
"EUROPA";"BELGIO";"PARTITO DEMOCRATICO";14501,00
"EUROPA";"BELGIO";"+EUROPA";4471,00
"EUROPA";"BELGIO";"LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI";10070,00
"EUROPA";"BELGIO";"LIBERI E UGUALI";2777,00
"EUROPA";"BELGIO";"NOI CON L'ITALIA - UDC";1151,00
"EUROPA";"BELGIO";"MOVIMENTO 5 STELLE";6667,00
"EUROPA";"BULGARIA";"PARTITO REPUBBLICANO ITALIANO - ALA";4,00
"EUROPA";"BULGARIA";"LIBERI E UGUALI";38,00
"EUROPA";"BULGARIA";"MOVIMENTO DELLE LIBERTA'";5,00
"EUROPA";"BULGARIA";"CIVICA POPOLARE LORENZIN";3,00
"EUROPA";"BULGARIA";"+EUROPA";40,00
"EUROPA";"BULGARIA";"LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI";276,00
"EUROPA";"BULGARIA";"MOVIMENTO 5 STELLE";215,00
"EUROPA";"BULGARIA";"PARTITO DEMOCRATICO";124,00
"EUROPA";"BULGARIA";"NOI CON L'ITALIA - UDC";11,00
"EUROPA";"REPUBBLICA CECA";"NOI CON L'ITALIA - UDC";33,00
"EUROPA";"REPUBBLICA CECA";"+EUROPA";208,00
"EUROPA";"REPUBBLICA CECA";"PARTITO DEMOCRATICO";361,00
"EUROPA";"REPUBBLICA CECA";"MOVIMENTO 5 STELLE";636,00
"EUROPA";"REPUBBLICA CECA";"LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI";549,00
"EUROPA";"REPUBBLICA CECA";"LIBERI E UGUALI";129,00
"EUROPA";"REPUBBLICA CECA";"MOVIMENTO DELLE LIBERTA'";12,00
"EUROPA";"REPUBBLICA CECA";"PARTITO REPUBBLICANO ITALIANO - ALA";8,00
"EUROPA";"REPUBBLICA CECA";"CIVICA POPOLARE LORENZIN";5,00
"EUROPA";"STATO DELLA CITTA' DEL VATICANO";"+EUROPA";0,00
"EUROPA";"STATO DELLA CITTA' DEL VATICANO";"NOI CON L'ITALIA - UDC";0,00
"EUROPA";"STATO DELLA CITTA' DEL VATICANO";"LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI";0,00
"EUROPA";"STATO DELLA CITTA' DEL VATICANO";"CIVICA POPOLARE LORENZIN";0,00
"EUROPA";"STATO DELLA CITTA' DEL VATICANO";"MOVIMENTO 5 STELLE";0,00
"EUROPA";"STATO DELLA CITTA' DEL VATICANO";"MOVIMENTO DELLE LIBERTA'";0,00
"EUROPA";"STATO DELLA CITTA' DEL VATICANO";"PARTITO REPUBBLICANO ITALIANO - ALA";0,00
"EUROPA";"STATO DELLA CITTA' DEL VATICANO";"LIBERI E UGUALI";0,00
"EUROPA";"STATO DELLA CITTA' DEL VATICANO";"PARTITO DEMOCRATICO";0,00
"EUROPA";"DANIMARCA";"MOVIMENTO DELLE LIBERTA'";6,00
"EUROPA";"DANIMARCA";"+EUROPA";472,00
"EUROPA";"DANIMARCA";"PARTITO DEMOCRATICO";676,00
"EUROPA";"DANIMARCA";"MOVIMENTO 5 STELLE";809,00
"EUROPA";"DANIMARCA";"PARTITO REPUBBLICANO ITALIANO - ALA";2,00
"EUROPA";"DANIMARCA";"LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI";248,00
"EUROPA";"DANIMARCA";"CIVICA POPOLARE LORENZIN";14,00
"EUROPA";"DANIMARCA";"NOI CON L'ITALIA - UDC";16,00
"EUROPA";"DANIMARCA";"LIBERI E UGUALI";314,00
"EUROPA";"FINLANDIA";"MOVIMENTO 5 STELLE";375,00
"EUROPA";"FINLANDIA";"MOVIMENTO DELLE LIBERTA'";8,00
"EUROPA";"FINLANDIA";"NOI CON L'ITALIA - UDC";15,00
"EUROPA";"FINLANDIA";"+EUROPA";177,00
"EUROPA";"FINLANDIA";"LIBERI E UGUALI";142,00
"EUROPA";"FINLANDIA";"PARTITO DEMOCRATICO";255,00
"EUROPA";"FINLANDIA";"PARTITO REPUBBLICANO ITALIANO - ALA";1,00
"EUROPA";"FINLANDIA";"CIVICA POPOLARE LORENZIN";4,00
"EUROPA";"FINLANDIA";"LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI";147,00
"EUROPA";"FRANCIA";"PARTITO DEMOCRATICO";29889,00
"EUROPA";"FRANCIA";"+EUROPA";8912,00
"EUROPA";"FRANCIA";"LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI";16817,00
"EUROPA";"FRANCIA";"MOVIMENTO DELLE LIBERTA'";1649,00
"EUROPA";"FRANCIA";"MOVIMENTO 5 STELLE";13795,00
"EUROPA";"FRANCIA";"LIBERI E UGUALI";6103,00
"EUROPA";"FRANCIA";"CIVICA POPOLARE LORENZIN";1052,00
"EUROPA";"FRANCIA";"PARTITO REPUBBLICANO ITALIANO - ALA";477,00
"EUROPA";"FRANCIA";"NOI CON L'ITALIA - UDC";2221,00
"EUROPA";"GERMANIA";"LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI";39969,00
"EUROPA";"GERMANIA";"PARTITO REPUBBLICANO ITALIANO - ALA";294,00
"EUROPA";"GERMANIA";"NOI CON L'ITALIA - UDC";3467,00
"EUROPA";"GERMANIA";"MOVIMENTO DELLE LIBERTA'";2770,00
"EUROPA";"GERMANIA";"CIVICA POPOLARE LORENZIN";2151,00
"EUROPA";"GERMANIA";"LIBERI E UGUALI";5759,00
"EUROPA";"GERMANIA";"+EUROPA";8189,00
"EUROPA";"GERMANIA";"PARTITO DEMOCRATICO";42521,00
"EUROPA";"GERMANIA";"MOVIMENTO 5 STELLE";39098,00
"EUROPA";"REGNO UNITO";"NOI CON L'ITALIA - UDC";1855,00
"EUROPA";"REGNO UNITO";"MOVIMENTO DELLE LIBERTA'";811,00
"EUROPA";"REGNO UNITO";"LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI";12164,00
"EUROPA";"REGNO UNITO";"PARTITO DEMOCRATICO";23860,00
"EUROPA";"REGNO UNITO";"MOVIMENTO 5 STELLE";18657,00
"EUROPA";"REGNO UNITO";"+EUROPA";8536,00
"EUROPA";"REGNO UNITO";"LIBERI E UGUALI";4768,00
"EUROPA";"REGNO UNITO";"PARTITO REPUBBLICANO ITALIANO - ALA";201,00
"EUROPA";"REGNO UNITO";"CIVICA POPOLARE LORENZIN";567,00
"EUROPA";"GRECIA";"MOVIMENTO DELLE LIBERTA'";141,00
"EUROPA";"GRECIA";"CIVICA POPOLARE LORENZIN";34,00
"EUROPA";"GRECIA";"NOI CON L'ITALIA - UDC";75,00
"EUROPA";"GRECIA";"LIBERI E UGUALI";252,00
"EUROPA";"GRECIA";"LEGA - FORZA ITALIA - FRATELLI D'ITALIA CON GIORGIA MELONI";888,00
"EUROPA";"GRECIA";"MOVIMENTO 5 STELLE";793,00
"EUROPA";"GRECIA";"PARTITO DEMOCRATICO";934,00
"EUROPA";"GRECIA";"+EUROPA";203,00
"EUROPA";"GRECIA";"PARTITO REPUBBLICANO ITALIANO - ALA";31,00
