"CIRCOSCRIZIONE";"COLLPLURINOM";"LISTA";"TOTVOTI";"SEGGILISTA"
"PIEMONTE 1";"PIEMONTE 1 - 01";"LEGA";106983,00;1,00
"PIEMONTE 1";"PIEMONTE 1 - 01";"FORZA ITALIA";73028,00;1,00
"PIEMONTE 1";"PIEMONTE 1 - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";22910,00;
"PIEMONTE 1";"PIEMONTE 1 - 01";"NOI CON L'ITALIA - UDC";3279,00;
"PIEMONTE 1";"PIEMONTE 1 - 01";"MOVIMENTO 5 STELLE";170167,00;2,00
"PIEMONTE 1";"PIEMONTE 1 - 01";"PARTITO DEMOCRATICO";159232,00;2,00
"PIEMONTE 1";"PIEMONTE 1 - 01";"+EUROPA";36276,00;
"PIEMONTE 1";"PIEMONTE 1 - 01";"ITALIA EUROPA INSIEME";3146,00;
"PIEMONTE 1";"PIEMONTE 1 - 01";"CIVICA POPOLARE LORENZIN";2724,00;
"PIEMONTE 1";"PIEMONTE 1 - 01";"LIBERI E UGUALI";33462,00;1,00
"PIEMONTE 1";"PIEMONTE 1 - 01";"POTERE AL POPOLO!";9195,00;
"PIEMONTE 1";"PIEMONTE 1 - 01";"CASAPOUND ITALIA";6254,00;
"PIEMONTE 1";"PIEMONTE 1 - 01";"IL POPOLO DELLA FAMIGLIA";4219,00;
"PIEMONTE 1";"PIEMONTE 1 - 01";"PARTITO VALORE UMANO";1751,00;
"PIEMONTE 1";"PIEMONTE 1 - 02";"LEGA";137577,00;2,00
"PIEMONTE 1";"PIEMONTE 1 - 02";"FORZA ITALIA";81584,00;1,00
"PIEMONTE 1";"PIEMONTE 1 - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";22830,00;
"PIEMONTE 1";"PIEMONTE 1 - 02";"NOI CON L'ITALIA - UDC";4181,00;
"PIEMONTE 1";"PIEMONTE 1 - 02";"MOVIMENTO 5 STELLE";193928,00;2,00
"PIEMONTE 1";"PIEMONTE 1 - 02";"PARTITO DEMOCRATICO";127060,00;2,00
"PIEMONTE 1";"PIEMONTE 1 - 02";"+EUROPA";24249,00;
"PIEMONTE 1";"PIEMONTE 1 - 02";"ITALIA EUROPA INSIEME";2655,00;
"PIEMONTE 1";"PIEMONTE 1 - 02";"CIVICA POPOLARE LORENZIN";2582,00;
"PIEMONTE 1";"PIEMONTE 1 - 02";"LIBERI E UGUALI";24125,00;
"PIEMONTE 1";"PIEMONTE 1 - 02";"POTERE AL POPOLO!";8025,00;
"PIEMONTE 1";"PIEMONTE 1 - 02";"CASAPOUND ITALIA";7070,00;
"PIEMONTE 1";"PIEMONTE 1 - 02";"IL POPOLO DELLA FAMIGLIA";4299,00;
"PIEMONTE 1";"PIEMONTE 1 - 02";"PARTITO VALORE UMANO";2656,00;
"PIEMONTE 2";"PIEMONTE 2 - 01";"LEGA";164010,00;2,00
"PIEMONTE 2";"PIEMONTE 2 - 01";"FORZA ITALIA";86578,00;1,00
"PIEMONTE 2";"PIEMONTE 2 - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";26606,00;1,00
"PIEMONTE 2";"PIEMONTE 2 - 01";"NOI CON L'ITALIA - UDC";6255,00;
"PIEMONTE 2";"PIEMONTE 2 - 01";"MOVIMENTO 5 STELLE";149276,00;2,00
"PIEMONTE 2";"PIEMONTE 2 - 01";"PARTITO DEMOCRATICO";108735,00;2,00
"PIEMONTE 2";"PIEMONTE 2 - 01";"+EUROPA";21007,00;
"PIEMONTE 2";"PIEMONTE 2 - 01";"ITALIA EUROPA INSIEME";2702,00;
"PIEMONTE 2";"PIEMONTE 2 - 01";"CIVICA POPOLARE LORENZIN";4597,00;
"PIEMONTE 2";"PIEMONTE 2 - 01";"LIBERI E UGUALI";19756,00;1,00
"PIEMONTE 2";"PIEMONTE 2 - 01";"POTERE AL POPOLO!";6007,00;
"PIEMONTE 2";"PIEMONTE 2 - 01";"CASAPOUND ITALIA";5459,00;
"PIEMONTE 2";"PIEMONTE 2 - 01";"IL POPOLO DELLA FAMIGLIA";4179,00;
"PIEMONTE 2";"PIEMONTE 2 - 01";"ITALIA AGLI ITALIANI";3386,00;
"PIEMONTE 2";"PIEMONTE 2 - 01";"PARTITO VALORE UMANO";2603,00;
"PIEMONTE 2";"PIEMONTE 2 - 02";"LEGA";144756,00;2,00
"PIEMONTE 2";"PIEMONTE 2 - 02";"FORZA ITALIA";87012,00;1,00
"PIEMONTE 2";"PIEMONTE 2 - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";26344,00;
"PIEMONTE 2";"PIEMONTE 2 - 02";"NOI CON L'ITALIA - UDC";4670,00;
"PIEMONTE 2";"PIEMONTE 2 - 02";"MOVIMENTO 5 STELLE";135369,00;2,00
"PIEMONTE 2";"PIEMONTE 2 - 02";"PARTITO DEMOCRATICO";106086,00;1,00
"PIEMONTE 2";"PIEMONTE 2 - 02";"+EUROPA";17050,00;
"PIEMONTE 2";"PIEMONTE 2 - 02";"ITALIA EUROPA INSIEME";2418,00;
"PIEMONTE 2";"PIEMONTE 2 - 02";"CIVICA POPOLARE LORENZIN";1947,00;
"PIEMONTE 2";"PIEMONTE 2 - 02";"LIBERI E UGUALI";15221,00;
"PIEMONTE 2";"PIEMONTE 2 - 02";"POTERE AL POPOLO!";4871,00;
"PIEMONTE 2";"PIEMONTE 2 - 02";"CASAPOUND ITALIA";6193,00;
"PIEMONTE 2";"PIEMONTE 2 - 02";"IL POPOLO DELLA FAMIGLIA";3501,00;
"PIEMONTE 2";"PIEMONTE 2 - 02";"ITALIA AGLI ITALIANI";3630,00;
"PIEMONTE 2";"PIEMONTE 2 - 02";"PARTITO VALORE UMANO";2217,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 01";"LEGA";130230,00;2,00
"LOMBARDIA 1";"LOMBARDIA 1 - 01";"FORZA ITALIA";70533,00;1,00
"LOMBARDIA 1";"LOMBARDIA 1 - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";19215,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 01";"NOI CON L'ITALIA - UDC";5307,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 01";"MOVIMENTO 5 STELLE";117864,00;1,00
"LOMBARDIA 1";"LOMBARDIA 1 - 01";"PARTITO DEMOCRATICO";109322,00;2,00
"LOMBARDIA 1";"LOMBARDIA 1 - 01";"+EUROPA";17001,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 01";"ITALIA EUROPA INSIEME";2400,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 01";"CIVICA POPOLARE LORENZIN";1805,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 01";"LIBERI E UGUALI";15220,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 01";"POTERE AL POPOLO!";3738,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 01";"CASAPOUND ITALIA";4129,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 01";"IL POPOLO DELLA FAMIGLIA";2746,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 01";"ITALIA AGLI ITALIANI";2831,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 01";"10 VOLTE MEGLIO";1456,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 01";"PER UNA SINISTRA RIVOLUZIONARIA";1125,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 01";"PARTITO REPUBBLICANO ITALIANO - ALA";295,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 02";"LEGA";125921,00;1,00
"LOMBARDIA 1";"LOMBARDIA 1 - 02";"FORZA ITALIA";78106,00;1,00
"LOMBARDIA 1";"LOMBARDIA 1 - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";20399,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 02";"NOI CON L'ITALIA - UDC";5214,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 02";"MOVIMENTO 5 STELLE";149088,00;2,00
"LOMBARDIA 1";"LOMBARDIA 1 - 02";"PARTITO DEMOCRATICO";130268,00;2,00
"LOMBARDIA 1";"LOMBARDIA 1 - 02";"+EUROPA";19992,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 02";"ITALIA EUROPA INSIEME";3538,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 02";"CIVICA POPOLARE LORENZIN";1870,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 02";"LIBERI E UGUALI";19720,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 02";"POTERE AL POPOLO!";5751,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 02";"CASAPOUND ITALIA";5083,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 02";"IL POPOLO DELLA FAMIGLIA";2430,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 02";"10 VOLTE MEGLIO";1493,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 02";"PER UNA SINISTRA RIVOLUZIONARIA";1331,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 02";"PARTITO REPUBBLICANO ITALIANO - ALA";528,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 03";"LEGA";101655,00;1,00
"LOMBARDIA 1";"LOMBARDIA 1 - 03";"FORZA ITALIA";94550,00;1,00
"LOMBARDIA 1";"LOMBARDIA 1 - 03";"FRATELLI D'ITALIA CON GIORGIA MELONI";27263,00;1,00
"LOMBARDIA 1";"LOMBARDIA 1 - 03";"NOI CON L'ITALIA - UDC";7425,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 03";"MOVIMENTO 5 STELLE";110212,00;1,00
"LOMBARDIA 1";"LOMBARDIA 1 - 03";"PARTITO DEMOCRATICO";166514,00;2,00
"LOMBARDIA 1";"LOMBARDIA 1 - 03";"+EUROPA";50945,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 03";"ITALIA EUROPA INSIEME";5110,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 03";"CIVICA POPOLARE LORENZIN";2828,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 03";"LIBERI E UGUALI";27606,00;1,00
"LOMBARDIA 1";"LOMBARDIA 1 - 03";"POTERE AL POPOLO!";8358,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 03";"CASAPOUND ITALIA";4191,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 03";"IL POPOLO DELLA FAMIGLIA";1856,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 03";"ITALIA AGLI ITALIANI";2431,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 03";"10 VOLTE MEGLIO";2233,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 03";"PER UNA SINISTRA RIVOLUZIONARIA";1513,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 03";"PARTITO REPUBBLICANO ITALIANO - ALA";659,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 04";"LEGA";126117,00;2,00
"LOMBARDIA 1";"LOMBARDIA 1 - 04";"FORZA ITALIA";69229,00;1,00
"LOMBARDIA 1";"LOMBARDIA 1 - 04";"FRATELLI D'ITALIA CON GIORGIA MELONI";19941,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 04";"NOI CON L'ITALIA - UDC";4801,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 04";"MOVIMENTO 5 STELLE";131321,00;2,00
"LOMBARDIA 1";"LOMBARDIA 1 - 04";"PARTITO DEMOCRATICO";102106,00;1,00
"LOMBARDIA 1";"LOMBARDIA 1 - 04";"+EUROPA";14132,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 04";"ITALIA EUROPA INSIEME";2465,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 04";"CIVICA POPOLARE LORENZIN";1751,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 04";"LIBERI E UGUALI";14000,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 04";"POTERE AL POPOLO!";4699,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 04";"CASAPOUND ITALIA";5240,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 04";"IL POPOLO DELLA FAMIGLIA";2234,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 04";"10 VOLTE MEGLIO";1304,00;
"LOMBARDIA 1";"LOMBARDIA 1 - 04";"PARTITO REPUBBLICANO ITALIANO - ALA";370,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 01";"LEGA";148681,00;2,00
"LOMBARDIA 2";"LOMBARDIA 2 - 01";"FORZA ITALIA";71137,00;1,00
"LOMBARDIA 2";"LOMBARDIA 2 - 01";"FRATELLI D'ITALIA CON GIORGIA MELONI";19258,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 01";"NOI CON L'ITALIA - UDC";6192,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 01";"MOVIMENTO 5 STELLE";115799,00;1,00
"LOMBARDIA 2";"LOMBARDIA 2 - 01";"PARTITO DEMOCRATICO";95007,00;1,00
"LOMBARDIA 2";"LOMBARDIA 2 - 01";"+EUROPA";14189,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 01";"ITALIA EUROPA INSIEME";1997,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 01";"CIVICA POPOLARE LORENZIN";1700,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 01";"LIBERI E UGUALI";11737,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 01";"POTERE AL POPOLO!";2712,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 01";"CASAPOUND ITALIA";6090,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 01";"IL POPOLO DELLA FAMIGLIA";3892,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 01";"PARTITO VALORE UMANO";911,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 01";"10 VOLTE MEGLIO";1161,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 01";"PER UNA SINISTRA RIVOLUZIONARIA";1157,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 01";"PARTITO REPUBBLICANO ITALIANO - ALA";364,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 01";"GRANDE NORD";2044,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 01";"BLOCCO NAZIONALE PER LE LIBERTA'";354,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"LEGA";240652,00;3,00
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"FORZA ITALIA";97185,00;1,00
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"FRATELLI D'ITALIA CON GIORGIA MELONI";28556,00;1,00
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"NOI CON L'ITALIA - UDC";6786,00;
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"MOVIMENTO 5 STELLE";136192,00;2,00
"LOMBARDIA 2";"LOMBARDIA 2 - 02";"PARTITO DEMOCRATICO";135863,00;2,00
