"CIRCOSCRIZIONE";"LISTA";"VOTILISTA";"SEGGILISTA"
"PIEMONTE 1";"CASAPOUND ITALIA";13324,00;
"PIEMONTE 1";"PARTITO DEMOCRATICO";286292,00;4,00
"PIEMONTE 1";"+EUROPA";60525,00;
"PIEMONTE 1";"ITALIA EUROPA INSIEME";5801,00;
"PIEMONTE 1";"CIVICA POPOLARE LORENZIN";5306,00;
"PIEMONTE 1";"IL POPOLO DELLA FAMIGLIA";8518,00;
"PIEMONTE 1";"LIBERI E UGUALI";57587,00;1,00
"PIEMONTE 1";"LEGA";244560,00;3,00
"PIEMONTE 1";"FORZA ITALIA";154612,00;2,00
"PIEMONTE 1";"FRATELLI D'ITALIA CON GIORGIA MELONI";45740,00;
"PIEMONTE 1";"NOI CON L'ITALIA - UDC";7460,00;
"PIEMONTE 1";"MOVIMENTO 5 STELLE";364095,00;4,00
"PIEMONTE 1";"PARTITO VALORE UMANO";4407,00;
"PIEMONTE 1";"POTERE AL POPOLO!";17220,00;
"PIEMONTE 2";"CASAPOUND ITALIA";11652,00;
"PIEMONTE 2";"PARTITO DEMOCRATICO";214821,00;3,00
"PIEMONTE 2";"+EUROPA";38057,00;
"PIEMONTE 2";"ITALIA EUROPA INSIEME";5120,00;
"PIEMONTE 2";"CIVICA POPOLARE LORENZIN";6544,00;
"PIEMONTE 2";"IL POPOLO DELLA FAMIGLIA";7680,00;
"PIEMONTE 2";"ITALIA AGLI ITALIANI";7016,00;
"PIEMONTE 2";"LIBERI E UGUALI";34977,00;1,00
"PIEMONTE 2";"LEGA";308766,00;4,00
"PIEMONTE 2";"FORZA ITALIA";173590,00;2,00
"PIEMONTE 2";"FRATELLI D'ITALIA CON GIORGIA MELONI";52950,00;1,00
"PIEMONTE 2";"NOI CON L'ITALIA - UDC";10925,00;
"PIEMONTE 2";"MOVIMENTO 5 STELLE";284645,00;4,00
"PIEMONTE 2";"PARTITO VALORE UMANO";4820,00;
"PIEMONTE 2";"POTERE AL POPOLO!";10878,00;
"LOMBARDIA 1";"10 VOLTE MEGLIO";6486,00;
"LOMBARDIA 1";"CASAPOUND ITALIA";18643,00;
"LOMBARDIA 1";"PARTITO DEMOCRATICO";508210,00;7,00
"LOMBARDIA 1";"+EUROPA";102070,00;
"LOMBARDIA 1";"ITALIA EUROPA INSIEME";13513,00;
"LOMBARDIA 1";"CIVICA POPOLARE LORENZIN";8254,00;
"LOMBARDIA 1";"IL POPOLO DELLA FAMIGLIA";9266,00;
"LOMBARDIA 1";"ITALIA AGLI ITALIANI";5262,00;
"LOMBARDIA 1";"LIBERI E UGUALI";76546,00;1,00
"LOMBARDIA 1";"LEGA";483923,00;6,00
"LOMBARDIA 1";"FORZA ITALIA";312418,00;4,00
"LOMBARDIA 1";"FRATELLI D'ITALIA CON GIORGIA MELONI";86818,00;1,00
"LOMBARDIA 1";"NOI CON L'ITALIA - UDC";22747,00;
"LOMBARDIA 1";"MOVIMENTO 5 STELLE";508485,00;6,00
"LOMBARDIA 1";"PARTITO REPUBBLICANO ITALIANO - ALA";1852,00;
"LOMBARDIA 1";"PER UNA SINISTRA RIVOLUZIONARIA";3969,00;
"LOMBARDIA 1";"POTERE AL POPOLO!";22546,00;
"LOMBARDIA 2";"10 VOLTE MEGLIO";2955,00;
"LOMBARDIA 2";"BLOCCO NAZIONALE PER LE LIBERTA'";767,00;
