"RIPARTIZIONE";"NAZIONE";"NUMELETTORITOTALI";"NUMELETTORIMASCHI";"NUMVOTANTITOTALI";"NUMVOTANTIMASCHI";"SKBIANCHE";"VOTIVALIDI";"SKNONVALIDE"
"EUROPA";"ALBANIA";1165,00;0,00;637,00;0,00;4,00;578,00;59,00
"EUROPA";"ANDORRA";402,00;0,00;52,00;0,00;0,00;49,00;3,00
"EUROPA";"AUSTRIA";24358,00;0,00;10379,00;0,00;211,00;9560,00;819,00
"EUROPA";"BELGIO";230549,00;0,00;49218,00;0,00;458,00;43661,00;5557,00
"EUROPA";"BULGARIA";1848,00;0,00;761,00;0,00;3,00;716,00;45,00
"EUROPA";"REPUBBLICA CECA";4335,00;0,00;2051,00;0,00;11,00;1941,00;110,00
"EUROPA";"STATO DELLA CITTA' DEL VATICANO";0,00;0,00;0,00;0,00;0,00;0,00;0,00
"EUROPA";"DANIMARCA";6821,00;0,00;2689,00;0,00;37,00;2557,00;132,00
"EUROPA";"FINLANDIA";2810,00;0,00;1177,00;0,00;2,00;1124,00;53,00
"EUROPA";"FRANCIA";336808,00;0,00;89884,00;0,00;2048,00;80915,00;8969,00
"EUROPA";"GERMANIA";606613,00;0,00;162657,00;0,00;1640,00;144218,00;18439,00
"EUROPA";"REGNO UNITO";255245,00;0,00;79492,00;0,00;623,00;71419,00;8073,00
"EUROPA";"GRECIA";9971,00;0,00;3570,00;0,00;69,00;3351,00;219,00
"EUROPA";"IRLANDA";13179,00;0,00;4597,00;0,00;46,00;4317,00;280,00
"EUROPA";"ISLANDA";250,00;0,00;87,00;0,00;0,00;80,00;7,00
"EUROPA";"REPUBBLICA DI SERBIA";1233,00;0,00;559,00;0,00;7,00;513,00;46,00
"EUROPA";"LIECHTENSTEIN";1283,00;0,00;530,00;0,00;16,00;474,00;56,00
"EUROPA";"LUSSEMBURGO";23200,00;0,00;9226,00;0,00;214,00;8282,00;944,00
"EUROPA";"MALTA";4743,00;0,00;2309,00;0,00;4,00;2158,00;151,00
"EUROPA";"MONACO";6644,00;0,00;3502,00;0,00;34,00;3263,00;239,00
"EUROPA";"NORVEGIA";4161,00;0,00;1512,00;0,00;9,00;1392,00;120,00
"EUROPA";"PAESI BASSI";36854,00;0,00;11801,00;0,00;89,00;11037,00;764,00
"EUROPA";"POLONIA";4420,00;0,00;2203,00;0,00;20,00;2060,00;143,00
"EUROPA";"PORTOGALLO";7797,00;0,00;3221,00;0,00;36,00;2799,00;422,00
"EUROPA";"ROMANIA";5821,00;0,00;2265,00;0,00;13,00;2039,00;226,00
"EUROPA";"SAN MARINO";9925,00;0,00;6965,00;0,00;44,00;6156,00;809,00
"EUROPA";"SPAGNA";131634,00;0,00;30890,00;0,00;423,00;28592,00;2298,00
"EUROPA";"SVEZIA";10943,00;0,00;4124,00;0,00;43,00;3917,00;207,00
"EUROPA";"SVIZZERA";486343,00;0,00;176248,00;0,00;3333,00;160390,00;15858,00
"EUROPA";"UNGHERIA";2743,00;0,00;1237,00;0,00;7,00;1187,00;50,00
"EUROPA";"FEDERAZIONE RUSSA";2650,00;0,00;1022,00;0,00;12,00;945,00;77,00
"EUROPA";"LITUANIA";260,00;0,00;139,00;0,00;0,00;132,00;7,00
"EUROPA";"LETTONIA";368,00;0,00;262,00;0,00;2,00;216,00;46,00
"EUROPA";"ESTONIA";423,00;0,00;244,00;0,00;2,00;226,00;18,00
"EUROPA";"BIELORUSSIA";154,00;0,00;64,00;0,00;0,00;62,00;2,00
"EUROPA";"CROAZIA";13848,00;0,00;5307,00;0,00;46,00;4872,00;435,00
"EUROPA";"CIPRO";865,00;0,00;414,00;0,00;6,00;388,00;26,00
"EUROPA";"TURCHIA";4216,00;0,00;1490,00;0,00;19,00;1396,00;94,00
"EUROPA";"SLOVENIA";3842,00;0,00;1732,00;0,00;12,00;1620,00;112,00
"EUROPA";"BOSNIA-ERZEGOVINA";668,00;0,00;394,00;0,00;6,00;353,00;41,00
"EUROPA";"SLOVACCHIA";1143,00;0,00;555,00;0,00;4,00;510,00;45,00
"EUROPA";"REPUBBLICA DI MACEDONIA";298,00;0,00;157,00;0,00;0,00;141,00;16,00
"EUROPA";"MOLDOVA";328,00;0,00;169,00;0,00;0,00;136,00;33,00
"EUROPA";"MONTENEGRO";255,00;0,00;74,00;0,00;0,00;68,00;6,00
"AMERICA MERIDIONALE";"ARGENTINA";693370,00;0,00;233772,00;0,00;2674,00;209986,00;23786,00
"AMERICA MERIDIONALE";"BOLIVIA";2919,00;0,00;1126,00;0,00;34,00;960,00;166,00
"AMERICA MERIDIONALE";"BRASILE";351992,00;0,00;107719,00;0,00;1534,00;92671,00;15048,00
"AMERICA MERIDIONALE";"CILE";48383,00;0,00;7164,00;0,00;182,00;6240,00;924,00
"AMERICA MERIDIONALE";"COLOMBIA";15713,00;0,00;5119,00;0,00;47,00;4438,00;681,00
"AMERICA MERIDIONALE";"ECUADOR";13670,00;0,00;2803,00;0,00;65,00;2469,00;334,00
"AMERICA MERIDIONALE";"PARAGUAY";8599,00;0,00;2492,00;0,00;63,00;2251,00;241,00
"AMERICA MERIDIONALE";"PERU'";26864,00;0,00;4790,00;0,00;126,00;4336,00;454,00
"AMERICA MERIDIONALE";"TRINIDAD E TOBAGO";86,00;0,00;23,00;0,00;0,00;22,00;1,00
"AMERICA MERIDIONALE";"URUGUAY";85918,00;0,00;20235,00;0,00;1397,00;17272,00;2963,00
"AMERICA MERIDIONALE";"VENEZUELA";96415,00;0,00;25601,00;0,00;155,00;20476,00;5125,00
"AMERICA MERIDIONALE";"GUYANA";0,00;0,00;0,00;0,00;0,00;0,00;0,00
"AMERICA SETTENTRIONALE E CENTRALE";"BAHAMAS";0,00;0,00;0,00;0,00;0,00;0,00;0,00
"AMERICA SETTENTRIONALE E CENTRALE";"CANADA";120471,00;0,00;37270,00;0,00;246,00;32410,00;4860,00
"AMERICA SETTENTRIONALE E CENTRALE";"COSTARICA";4684,00;0,00;1088,00;0,00;10,00;982,00;106,00
"AMERICA SETTENTRIONALE E CENTRALE";"REPUBBLICA DOMINICANA";5296,00;0,00;2373,00;0,00;79,00;1801,00;572,00
"AMERICA SETTENTRIONALE E CENTRALE";"EL SALVADOR";1988,00;0,00;643,00;0,00;9,00;578,00;65,00
"AMERICA SETTENTRIONALE E CENTRALE";"GIAMAICA";85,00;0,00;27,00;0,00;0,00;24,00;3,00
"AMERICA SETTENTRIONALE E CENTRALE";"GUATEMALA";4119,00;0,00;1422,00;0,00;17,00;1231,00;191,00
"AMERICA SETTENTRIONALE E CENTRALE";"HAITI";121,00;0,00;61,00;0,00;0,00;61,00;0,00
"AMERICA SETTENTRIONALE E CENTRALE";"HONDURAS";986,00;0,00;533,00;0,00;26,00;394,00;139,00
"AMERICA SETTENTRIONALE E CENTRALE";"MESSICO";14409,00;0,00;4122,00;0,00;21,00;3692,00;430,00
"AMERICA SETTENTRIONALE E CENTRALE";"NICARAGUA";1015,00;0,00;402,00;0,00;11,00;349,00;53,00
"AMERICA SETTENTRIONALE E CENTRALE";"PANAMA";6463,00;0,00;962,00;0,00;22,00;846,00;116,00
"AMERICA SETTENTRIONALE E CENTRALE";"STATI UNITI D'AMERICA";229301,00;0,00;59771,00;0,00;501,00;51918,00;7853,00
"AMERICA SETTENTRIONALE E CENTRALE";"BARBADOS";0,00;0,00;0,00;0,00;0,00;0,00;0,00
"AMERICA SETTENTRIONALE E CENTRALE";"BELIZE";0,00;0,00;0,00;0,00;0,00;0,00;0,00
"AMERICA SETTENTRIONALE E CENTRALE";"GRENADA";0,00;0,00;0,00;0,00;0,00;0,00;0,00
"AMERICA SETTENTRIONALE E CENTRALE";"DOMINICA";1,00;0,00;0,00;0,00;0,00;0,00;0,00
"AMERICA SETTENTRIONALE E CENTRALE";"ANTIGUA E BARBUDA";101,00;0,00;55,00;0,00;0,00;50,00;5,00
"AMERICA SETTENTRIONALE E CENTRALE";"SAINT LUCIA";16,00;0,00;0,00;0,00;0,00;0,00;0,00
"AMERICA SETTENTRIONALE E CENTRALE";"SAINT VINCENT E GRENADINE";0,00;0,00;0,00;0,00;0,00;0,00;0,00
"AMERICA SETTENTRIONALE E CENTRALE";"SAINT KITTS E NEVIS";4,00;0,00;0,00;0,00;0,00;0,00;0,00
"AFRICA ASIA OCEANIA ANTARTIDE";"SAMOA";6,00;0,00;0,00;0,00;0,00;0,00;0,00
"AFRICA ASIA OCEANIA ANTARTIDE";"TONGA";0,00;0,00;0,00;0,00;0,00;0,00;0,00
"AFRICA ASIA OCEANIA ANTARTIDE";"VANUATU";18,00;0,00;0,00;0,00;0,00;0,00;0,00
"AFRICA ASIA OCEANIA ANTARTIDE";"ARABIA SAUDITA";1028,00;0,00;272,00;0,00;7,00;261,00;11,00
"AFRICA ASIA OCEANIA ANTARTIDE";"AUSTRALIA";131142,00;0,00;31634,00;0,00;552,00;26190,00;5444,00
"AFRICA ASIA OCEANIA ANTARTIDE";"MYANMAR";156,00;0,00;93,00;0,00;0,00;87,00;6,00
"AFRICA ASIA OCEANIA ANTARTIDE";"CAMBOGIA";130,00;0,00;80,00;0,00;0,00;73,00;7,00
"AFRICA ASIA OCEANIA ANTARTIDE";"SRI LANKA";172,00;0,00;82,00;0,00;1,00;75,00;7,00
"AFRICA ASIA OCEANIA ANTARTIDE";"REPUBBLICA POPOLARE CINESE";7138,00;0,00;3056,00;0,00;38,00;2837,00;219,00
"AFRICA ASIA OCEANIA ANTARTIDE";"REPUBBLICA DI COREA";432,00;0,00;217,00;0,00;5,00;205,00;12,00
"AFRICA ASIA OCEANIA ANTARTIDE";"FILIPPINE";1115,00;0,00;453,00;0,00;13,00;401,00;52,00
"AFRICA ASIA OCEANIA ANTARTIDE";"GIAPPONE";3154,00;0,00;1722,00;0,00;36,00;1643,00;79,00
"AFRICA ASIA OCEANIA ANTARTIDE";"GIORDANIA";852,00;0,00;236,00;0,00;3,00;225,00;11,00
"AFRICA ASIA OCEANIA ANTARTIDE";"INDIA";911,00;0,00;411,00;0,00;4,00;365,00;46,00
"AFRICA ASIA OCEANIA ANTARTIDE";"IRAN";366,00;0,00;146,00;0,00;0,00;133,00;13,00
"AFRICA ASIA OCEANIA ANTARTIDE";"ISRAELE";11173,00;0,00;1512,00;0,00;30,00;1366,00;146,00
"AFRICA ASIA OCEANIA ANTARTIDE";"KUWAIT";600,00;0,00;374,00;0,00;0,00;365,00;9,00
"AFRICA ASIA OCEANIA ANTARTIDE";"LAOS";77,00;0,00;51,00;0,00;1,00;45,00;6,00
"AFRICA ASIA OCEANIA ANTARTIDE";"LIBANO";2555,00;0,00;1636,00;0,00;16,00;1522,00;114,00
"AFRICA ASIA OCEANIA ANTARTIDE";"MALAYSIA";632,00;0,00;335,00;0,00;8,00;283,00;52,00
"AFRICA ASIA OCEANIA ANTARTIDE";"MONGOLIA";0,00;0,00;0,00;0,00;0,00;0,00;0,00
"AFRICA ASIA OCEANIA ANTARTIDE";"NEPAL";49,00;0,00;35,00;0,00;0,00;33,00;2,00
"AFRICA ASIA OCEANIA ANTARTIDE";"NUOVA ZELANDA";3604,00;0,00;985,00;0,00;12,00;890,00;95,00
"AFRICA ASIA OCEANIA ANTARTIDE";"OMAN";291,00;0,00;129,00;0,00;4,00;119,00;10,00
"AFRICA ASIA OCEANIA ANTARTIDE";"PAKISTAN";167,00;0,00;77,00;0,00;0,00;72,00;5,00
"AFRICA ASIA OCEANIA ANTARTIDE";"QATAR";1268,00;0,00;492,00;0,00;1,00;462,00;30,00
"AFRICA ASIA OCEANIA ANTARTIDE";"SINGAPORE";2517,00;0,00;1089,00;0,00;0,00;1063,00;26,00
"AFRICA ASIA OCEANIA ANTARTIDE";"THAILANDIA";3733,00;0,00;1790,00;0,00;26,00;1598,00;192,00
"AFRICA ASIA OCEANIA ANTARTIDE";"VIETNAM";497,00;0,00;212,00;0,00;1,00;187,00;25,00
"AFRICA ASIA OCEANIA ANTARTIDE";"BANGLADESH";208,00;0,00;110,00;0,00;3,00;103,00;7,00
"AFRICA ASIA OCEANIA ANTARTIDE";"FIGI";0,00;0,00;0,00;0,00;0,00;0,00;0,00
"AFRICA ASIA OCEANIA ANTARTIDE";"EMIRATI ARABI UNITI";7823,00;0,00;2343,00;0,00;16,00;2211,00;132,00
"AFRICA ASIA OCEANIA ANTARTIDE";"BAHREIN";273,00;0,00;125,00;0,00;1,00;111,00;14,00
"AFRICA ASIA OCEANIA ANTARTIDE";"MALDIVE";0,00;0,00;0,00;0,00;0,00;0,00;0,00
"AFRICA ASIA OCEANIA ANTARTIDE";"PAPUA NUOVA GUINEA";23,00;0,00;0,00;0,00;0,00;0,00;0,00
"AFRICA ASIA OCEANIA ANTARTIDE";"TAIWAN";475,00;0,00;254,00;0,00;3,00;237,00;17,00
"AFRICA ASIA OCEANIA ANTARTIDE";"KAZAKHSTAN";259,00;0,00;140,00;0,00;0,00;131,00;9,00
"AFRICA ASIA OCEANIA ANTARTIDE";"UZBEKISTAN";41,00;0,00;29,00;0,00;0,00;28,00;1,00
"AFRICA ASIA OCEANIA ANTARTIDE";"ALGERIA";674,00;0,00;480,00;0,00;11,00;326,00;154,00
"AFRICA ASIA OCEANIA ANTARTIDE";"BURKINA FASO";1,00;0,00;0,00;0,00;0,00;0,00;0,00
"AFRICA ASIA OCEANIA ANTARTIDE";"BURUNDI";64,00;0,00;32,00;0,00;0,00;30,00;2,00
"AFRICA ASIA OCEANIA ANTARTIDE";"CAMERUN";318,00;0,00;225,00;0,00;13,00;184,00;41,00
"AFRICA ASIA OCEANIA ANTARTIDE";"CIAD";33,00;0,00;24,00;0,00;0,00;24,00;0,00
"AFRICA ASIA OCEANIA ANTARTIDE";"CONGO";215,00;0,00;124,00;0,00;1,00;120,00;4,00
"AFRICA ASIA OCEANIA ANTARTIDE";"REPUBBLICA DEMOCRATICA DEL CONGO";489,00;0,00;188,00;0,00;4,00;161,00;27,00
"AFRICA ASIA OCEANIA ANTARTIDE";"BENIN";0,00;0,00;0,00;0,00;0,00;0,00;0,00
"AFRICA ASIA OCEANIA ANTARTIDE";"ETIOPIA";1180,00;0,00;291,00;0,00;6,00;282,00;9,00
"AFRICA ASIA OCEANIA ANTARTIDE";"GABON";0,00;0,00;0,00;0,00;0,00;0,00;0,00
"AFRICA ASIA OCEANIA ANTARTIDE";"GAMBIA";0,00;0,00;0,00;0,00;0,00;0,00;0,00
"AFRICA ASIA OCEANIA ANTARTIDE";"GHANA";436,00;0,00;255,00;0,00;2,00;218,00;37,00
"AFRICA ASIA OCEANIA ANTARTIDE";"GUINEA";0,00;0,00;0,00;0,00;0,00;0,00;0,00
"AFRICA ASIA OCEANIA ANTARTIDE";"KENYA";1404,00;0,00;593,00;0,00;3,00;567,00;26,00
"AFRICA ASIA OCEANIA ANTARTIDE";"MADAGASCAR";360,00;0,00;168,00;0,00;4,00;157,00;11,00
"AFRICA ASIA OCEANIA ANTARTIDE";"MALAWI";108,00;0,00;31,00;0,00;0,00;29,00;2,00
"AFRICA ASIA OCEANIA ANTARTIDE";"MALI";73,00;0,00;47,00;0,00;0,00;44,00;3,00
"AFRICA ASIA OCEANIA ANTARTIDE";"MAROCCO";3086,00;0,00;1008,00;0,00;12,00;922,00;86,00
"AFRICA ASIA OCEANIA ANTARTIDE";"MAURITANIA";0,00;0,00;0,00;0,00;0,00;0,00;0,00
