"CIRCOSCRIZIONE";"COLLPLURINOM";"ELETTORITOTALI";"ELETTORIMASCHI";"NUMVOTANTITOTALI";"NUMVOTANTIMASCHI";"SKBIANCHE";"VOTIVALIDILISTE";"VOTIVALIDICAND";"SKNONVALIDE"
"PIEMONTE 1";"PIEMONTE 1 - 01";875371,00;413699,00;652379,00;317196,00;4317,00;632626,00;632626,00;19753,00
"PIEMONTE 1";"PIEMONTE 1 - 02";871839,00;423673,00;667813,00;333393,00;6019,00;642821,00;642821,00;24992,00
"PIEMONTE 2";"PIEMONTE 2 - 01";850656,00;413600,00;636706,00;320970,00;7626,00;611156,00;611156,00;25550,00
"PIEMONTE 2";"PIEMONTE 2 - 02";781935,00;375854,00;584029,00;288732,00;6475,00;561285,00;561285,00;22744,00
"LOMBARDIA 1";"LOMBARDIA 1 - 01";662718,00;322094,00;518641,00;257374,00;5558,00;505217,00;505217,00;13424,00
"LOMBARDIA 1";"LOMBARDIA 1 - 02";768872,00;370043,00;585751,00;288327,00;6088,00;570732,00;570732,00;15019,00
"LOMBARDIA 1";"LOMBARDIA 1 - 03";860512,00;400971,00;630225,00;300587,00;6109,00;615349,00;615349,00;14876,00
"LOMBARDIA 1";"LOMBARDIA 1 - 04";671094,00;325728,00;514225,00;255253,00;5747,00;499710,00;499710,00;14515,00
"LOMBARDIA 2";"LOMBARDIA 2 - 01";686975,00;332447,00;520034,00;257774,00;6575,00;504382,00;504382,00;15652,00
"LOMBARDIA 2";"LOMBARDIA 2 - 02";959733,00;469150,00;740029,00;369294,00;11190,00;714810,00;714810,00;25219,00
"LOMBARDIA 3";"LOMBARDIA 3 - 01";798923,00;389980,00;634347,00;315701,00;9579,00;615267,00;615267,00;19080,00
"LOMBARDIA 3";"LOMBARDIA 3 - 02";838085,00;412227,00;671572,00;335820,00;9806,00;650635,00;650635,00;20937,00
"LOMBARDIA 4";"LOMBARDIA 4 - 01";645289,00;312742,00;483099,00;241990,00;6778,00;466958,00;466958,00;16141,00
"LOMBARDIA 4";"LOMBARDIA 4 - 02";604290,00;293715,00;462394,00;232050,00;6300,00;449409,00;449409,00;12985,00
"VENETO 1";"VENETO 1 - 01";765328,00;369946,00;593047,00;295154,00;5253,00;577422,00;577422,00;15625,00
"VENETO 1";"VENETO 1 - 02";720398,00;350263,00;560123,00;279027,00;5773,00;544231,00;544231,00;15892,00
"VENETO 2";"VENETO 2 - 01";712555,00;344835,00;573175,00;284743,00;5351,00;558003,00;558003,00;15172,00
