"CIRCOSCR";"NUMELETTORITOTALI";"NUMELETTORIMASCHI";"NUMVOTANTITOTALI";"NUMVOTANTIMASCHI";"SKBIANCHE";"VOTIVALIDILISTE";"VOTIVALIDICANDIDATI";"SKNONVALIDE"
"PIEMONTE 1";1747210,00;837372,00;1320192,00;650589,00;10336,00;1275447,00;1275447,00;44745,00
"PIEMONTE 2";1632591,00;789454,00;1220735,00;609702,00;14101,00;1172441,00;1172441,00;48294,00
"LOMBARDIA 1";2963196,00;1418836,00;2248842,00;1101541,00;23502,00;2191008,00;2191008,00;57834,00
"LOMBARDIA 2";1646708,00;801597,00;1260063,00;627068,00;17765,00;1219192,00;1219192,00;40871,00
"LOMBARDIA 3";1637008,00;802207,00;1305919,00;651521,00;19385,00;1265902,00;1265902,00;40017,00
"LOMBARDIA 4";1249579,00;606457,00;945493,00;474040,00;13078,00;916367,00;916367,00;29126,00
"VENETO 1";1485726,00;720209,00;1153170,00;574181,00;11026,00;1121653,00;1121653,00;31517,00
"VENETO 2";2241715,00;1090356,00;1781237,00;888947,00;16933,00;1734937,00;1734937,00;46300,00
"FRIULI-VENEZIA GIULIA";950403,00;457336,00;713973,00;352753,00;7512,00;689134,00;689048,00;24925,00
"LIGURIA";1229500,00;580315,00;885066,00;434045,00;7862,00;860592,00;860592,00;24474,00
"EMILIA-ROMAGNA";3326885,00;1607001,00;2604664,00;1294158,00;24622,00;2535184,00;2535184,00;69480,00
"TOSCANA";2841131,00;1359635,00;2200959,00;1086844,00;21178,00;2134586,00;2134586,00;66373,00
"UMBRIA";672313,00;323403,00;525978,00;263836,00;5339,00;511279,00;511279,00;14699,00
"MARCHE";1184079,00;572555,00;915119,00;460347,00;10985,00;889937,00;889937,00;25182,00
"LAZIO 1";2890202,00;1363261,00;2081805,00;1005943,00;20128,00;2026832,00;2026832,00;54973,00
"LAZIO 2";1502774,00;730728,00;1111267,00;557773,00;21435,00;1067455,00;1066861,00;44406,00
"ABRUZZO";1045163,00;506164,00;786533,00;394809,00;9227,00;760188,00;760188,00;26345,00
"MOLISE";254108,00;123643,00;182007,00;92779,00;3249,00;174329,00;174329,00;7678,00
"CAMPANIA 1";2401003,00;1143558,00;1568793,00;788860,00;10832,00;1530214,00;1530214,00;38579,00
"CAMPANIA 2";2158084,00;1043735,00;1539573,00;783144,00;24269,00;1480083,00;1480083,00;59490,00
"PUGLIA";3268164,00;1566010,00;2257628,00;1141835,00;23930,00;2184160,00;2184160,00;73468,00
"BASILICATA";462768,00;225183,00;329087,00;168550,00;5669,00;313719,00;313719,00;15368,00
"CALABRIA";1541566,00;743589,00;981045,00;504828,00;15683,00;937710,00;937710,00;43335,00
"SICILIA 1";1896537,00;903403,00;1161710,00;591671,00;11265,00;1119084,00;1119084,00;42626,00
"SICILIA 2";2111649,00;1010108,00;1353635,00;682744,00;13935,00;1304178,00;1304178,00;49457,00
"SARDEGNA";1368471,00;665211,00;896495,00;450145,00;8256,00;869000,00;869000,00;27495,00
"TRENTINO-ALTO ADIGE/SUDTIROL";796817,00;390077,00;592333,00;293074,00;17939,00;557094,00;557094,00;35239,00
