"","regione","anno","diff_somma","radice","indice"
"1","ABRUZZO",1948,54.2632796521119,7.37,3
"2","ABRUZZO",1953,26.2101918521932,5.12,2
"3","ABRUZZO",1958,35.8958975577263,5.99,5
"4","ABRUZZO",1963,64.579030724547,8.04,12
"5","ABRUZZO",1968,111.997240179744,10.58,12
"6","ABRUZZO",1972,105.878875949564,10.29,12
"7","ABRUZZO",1976,37.3549638897387,6.11,8
"8","ABRUZZO",1983,97.3608453530936,9.87,10
"9","ABRUZZO",1987,74.0349904738661,8.6,8
"10","ABRUZZO",1992,185.304396984695,13.61,10
"11","ABRUZZO",1994,111.798509982476,10.57,4
"12","ABRUZZO",1996,44.0368902881934,6.64,5
"13","ABRUZZO",2001,30.2652023458352,5.5,3
"14","ABRUZZO",2006,27.7342993443722,5.27,4
"15","ABRUZZO",2008,26.1226826650762,5.11,1
"16","ABRUZZO",2013,55.2088141353142,7.43,8
"17","ABRUZZO",2018,87.5218021719091,9.36,6
"18","ABRUZZO",2022,31.2435798010856,5.59,3
"19","BASILICATA",1948,57.0695963125447,7.55,4
"20","BASILICATA",1953,62.991751555881,7.94,7
"21","BASILICATA",1958,91.912631314313,9.59,11
"22","BASILICATA",1963,52.7728333053856,7.26,5
"23","BASILICATA",1968,108.348787761801,10.41,11
"24","BASILICATA",1972,128.779576600211,11.35,13
"25","BASILICATA",1976,41.8237993684067,6.47,10
"26","BASILICATA",1983,197.224188941822,14.04,13
"27","BASILICATA",1987,155.665341566449,12.48,13
"28","BASILICATA",1992,307.421483701696,17.53,15
"29","BASILICATA",1994,235.258003545891,15.34,11
"30","BASILICATA",1996,64.5499013464319,8.03,6
"31","BASILICATA",2001,68.7579668353832,8.29,8
"32","BASILICATA",2006,65.110133083044,8.07,8
"33","BASILICATA",2008,38.0833528175755,6.17,6
"34","BASILICATA",2013,38.3818158419389,6.2,4
"35","BASILICATA",2018,282.498656469164,16.81,13
"36","BASILICATA",2022,169.452055576659,13.02,13
"37","CALABRIA",1948,59.3488754203834,7.7,5
"38","CALABRIA",1953,17.3987451042759,4.17,1
"39","CALABRIA",1958,35.8200932130004,5.98,4
"40","CALABRIA",1963,58.974878230151,7.68,9
"41","CALABRIA",1968,40.2792746142947,6.35,5
"42","CALABRIA",1972,31.2454365233155,5.59,2
"43","CALABRIA",1976,14.8542944133927,3.85,2
"44","CALABRIA",1983,60.1781727926106,7.76,5
"45","CALABRIA",1987,27.7420782682682,5.27,3
"46","CALABRIA",1992,152.886937741718,12.36,7
"47","CALABRIA",1994,47.9176312293967,6.92,1
"48","CALABRIA",1996,79.9384639162814,8.94,7
"49","CALABRIA",2001,56.7061422716506,7.53,6
"50","CALABRIA",2006,92.8907275309396,9.64,14
"51","CALABRIA",2008,29.4107429583114,5.42,4
"52","CALABRIA",2013,54.0254063289079,7.35,7
"53","CALABRIA",2018,324.806810515638,18.02,15
"54","CALABRIA",2022,357.516235176539,18.91,16
"55","CAMPANIA",1948,288.310079524516,16.98,14
"56","CAMPANIA",1953,288.854895125888,17,16
"57","CAMPANIA",1958,136.669815951353,11.69,13
"58","CAMPANIA",1963,40.4505821981242,6.36,3
"59","CAMPANIA",1968,36.7359834757198,6.06,3
"60","CAMPANIA",1972,89.7971630524004,9.48,9
"61","CAMPANIA",1976,31.7392512073797,5.63,7
"62","CAMPANIA",1983,76.6114508002649,8.75,7
"63","CAMPANIA",1987,97.5265025837215,9.88,11
"64","CAMPANIA",1992,261.713549864389,16.18,12
"65","CAMPANIA",1994,57.1830373254436,7.56,2
"66","CAMPANIA",1996,26.9956441374246,5.2,1
"67","CAMPANIA",2001,37.6750712789218,6.14,5
"68","CAMPANIA",2006,55.309317068405,7.44,7
"69","CAMPANIA",2008,156.905350251798,12.53,11
"70","CAMPANIA",2013,103.174385190421,10.16,13
"71","CAMPANIA",2018,524.825375890623,22.91,17
"72","CAMPANIA",2022,496.285141568595,22.28,18
"73","EMILIA-ROMAGNA",1948,676.865821549405,26.02,18
"74","EMILIA-ROMAGNA",1953,349.68612710457,18.7,18
"75","EMILIA-ROMAGNA",1958,359.362547056908,18.96,18
"76","EMILIA-ROMAGNA",1963,399.741550484156,19.99,18
"77","EMILIA-ROMAGNA",1968,430.01446501304,20.74,18
"78","EMILIA-ROMAGNA",1972,447.345482994359,21.15,18
"79","EMILIA-ROMAGNA",1976,317.426292866901,17.82,18
"80","EMILIA-ROMAGNA",1983,428.470960644369,20.7,17
"81","EMILIA-ROMAGNA",1987,420.997580671255,20.52,17
"82","EMILIA-ROMAGNA",1992,391.31162314073,19.78,17
"83","EMILIA-ROMAGNA",1994,313.551971672432,17.71,17
"84","EMILIA-ROMAGNA",1996,271.674662180687,16.48,14
"85","EMILIA-ROMAGNA",2001,193.394163123917,13.91,17
"86","EMILIA-ROMAGNA",2006,218.806713836156,14.79,18
"87","EMILIA-ROMAGNA",2008,238.227891162512,15.43,15
"88","EMILIA-ROMAGNA",2013,168.595521881658,12.98,17
"89","EMILIA-ROMAGNA",2018,112.906420234271,10.63,7
"90","EMILIA-ROMAGNA",2022,125.103798421013,11.18,11
"91","FRIULI-VENEZIA GIULIA",1948,288.931217223989,17,15
"92","FRIULI-VENEZIA GIULIA",1953,215.686221356859,14.69,13
"93","FRIULI-VENEZIA GIULIA",1958,102.031548069171,10.1,12
"94","FRIULI-VENEZIA GIULIA",1963,119.443687752044,10.93,13
"95","FRIULI-VENEZIA GIULIA",1968,113.184075785631,10.64,13
"96","FRIULI-VENEZIA GIULIA",1972,105.664076661316,10.28,11
"97","FRIULI-VENEZIA GIULIA",1976,97.0654959362672,9.85,13
"98","FRIULI-VENEZIA GIULIA",1983,102.047818525372,10.1,11
"99","FRIULI-VENEZIA GIULIA",1987,78.0077951409751,8.83,9
"100","FRIULI-VENEZIA GIULIA",1992,113.330420205603,10.65,2
"101","FRIULI-VENEZIA GIULIA",1994,176.868901885495,13.3,9
"102","FRIULI-VENEZIA GIULIA",1996,246.589188001593,15.7,13
"103","FRIULI-VENEZIA GIULIA",2001,133.258841769057,11.54,13
